,C1,C2,C3,C4,FC1,CZ,FC2,PZ
0,-5839.44287109375,81851.4921875,35739.47265625,73005.921875,12238.4560546875,126017.6328125,47228.15234375,78257.859375
1,-5772.63916015625,81778.5859375,35732.84375,73082.0234375,12202.64453125,125885.453125,47104.74609375,78130.5859375
2,-5928.0869140625,81711.203125,35571.81640625,73568.546875,12149.1923828125,125953.546875,47317.22265625,78238.78125
0,-6229.49609375,81696.234375,35338.30859375,74304.828125,12121.3916015625,126222.671875,47810.60546875,78567.796875
1,-6529.37890625,81729.328125,35139.08984375,74901.3046875,12119.24609375,126545.4921875,48331.50390625,78940.6875
2,-6744.71923828125,81801.7578125,35030.08203125,75223.8828125,12149.62109375,126826.203125,48718.93359375,79247.296875
3,-6796.1220703125,81880.484375,35045.33984375,75136.953125,12193.6328125,126952.6171875,48827.890625,79366.40625
0,-6665.22998046875,81935.078125,35184.1953125,74667.03125,12235.0234375,126877.9921875,48611.453125,79251.921875
1,-6391.14404296875,81948.1015625,35400.30078125,73979.765625,12256.765625,126624.359375,48145.203125,78939.2578125
2,-6083.77490234375,81918.390625,35605.9609375,73362.0703125,12258.197265625,126299.921875,47620.20703125,78561.984375
0,-5845.26123046875,81852.4921875,35735.46875,73005.6875,12235.0234375,126009.2421875,47211.12890625,78242.9296875
1,-5788.85107421875,81772.625,35720.3046875,73084.890625,12190.962890625,125874.34375,47089.8671875,78115.234375
2,-5940.2939453125,81710.6328125,35563.90234375,73575.3125,12142.611328125,125951.0625,47311.8359375,78231.7265625
0,-6241.27392578125,81695.375,35329.6328125,74310.9296875,12114.5263671875,126218.8125,47806.41015625,78559.453125
1,-6536.24609375,81732.1875,35136.75,74918.5625,12117.1484375,126544.7265625,48330.7421875,78937.78125
2,-6753.35009765625,81803.5234375,35026.5078125,75241.953125,12145.568359375,126825.8203125,48718.171875,79247.9140625
0,-6806.326171875,81876.2421875,35041.95703125,75131.8046875,12184.955078125,126945.65625,48817.3046875,79358.015625
1,-6676.05419921875,81926.9296875,35178.37890625,74651.8203125,12221.5283203125,126863.921875,48596.0078125,79236.515625
2,-6394.81591796875,81944.5234375,35399.15625,73966.078125,12249.9482421875,126614.7265625,48135.4765625,78930.625
0,-6077.384765625,81922.6796875,35615.16015625,73351.296875,12261.34375,126296.0078125,47616.62890625,78562.03125
1,-5841.01708984375,81853.3515625,35742.5234375,72987.1796875,12234.1640625,126001.8984375,47202.40234375,78236.3984375
0,-5792.666015625,81770.3828125,35721.734375,73077.2578125,12187.052734375,125869.3359375,47086.1015625,78108.4140625
1,-5945.72998046875,81710.25,35564.47265625,73588.234375,12140.3701171875,125954.1171875,47320.32421875,78231.390625
2,-6250.23876953125,81694.7578125,35327.9140625,74328.90625,12111.044921875,126225.6328125,47819.3828125,78564.078125
0,-6542.5400390625,81738.1953125,35139.8515625,74935.5859375,12119.0078125,126558.3203125,48347.8125,78946.3125
1,-6752.919921875,81811.9140625,35034.375,75240.953125,12150.908203125,126835.453125,48726.70703125,79249.578125
2,-6796.216796875,81889.59375,35056.21484375,75128.515625,12193.7275390625,126954.046875,48817.35546875,79358.3046875
3,-6671.76318359375,81931.8828125,35186.34375,74645.4765625,12221.95703125,126863.96875,48583.46484375,79227.8828125
4,-6387.23388671875,81949.71875,35409.50390625,73957.734375,12250.04296875,126611.7265625,48119.7421875,78919.9921875
5,-6079.38818359375,81917.34375,35613.109375,73337.1796875,12250.1376953125,126283.1328125,47593.265625,78541.8125
6,-5846.5478515625,81848.34375,35738.37890625,72987.515625,12223.1494140625,125992.9765625,47187.33203125,78225.046875
7,-5795.19287109375,81770.859375,35720.97265625,73082.9765625,12180.3291015625,125866.8125,47078.7578125,78103.6953125
8,-5953.59814453125,81708.34375,35558.41796875,73588.0,12130.9765625,125948.015625,47313.36328125,78223.4765625
9,-6259.9658203125,81689.796875,35318.6640625,74324.8984375,12097.98046875,126216.8046875,47809.75,78550.296875
10,-6550.69384765625,81731.8515625,35129.265625,74924.1875,12104.5595703125,126547.015625,48336.796875,78931.8671875
11,-6763.0771484375,81802.953125,35020.2109375,75236.421875,12133.2177734375,126825.96875,48718.21875,79237.1875
0,-6806.61181640625,81877.671875,35042.43359375,75120.40625,12174.4169921875,126941.40625,48806.625,79343.8046875
1,-6668.7587890625,81928.1171875,35183.00390625,74631.3671875,12212.6591796875,126854.390625,48570.92578125,79217.8203125
2,-6386.23291015625,81943.28125,35402.77734375,73942.8125,12240.2197265625,126599.1796875,48103.71875,78904.4921875
0,-6079.38818359375,81909.4765625,35606.625,73332.4609375,12240.83984375,126275.6015625,47583.5859375,78529.3203125
1,-5840.39697265625,81846.9609375,35736.23046875,72990.4765625,12222.0048828125,125994.5546875,47188.71484375,78218.703125
2,-5798.2451171875,81764.609375,35710.578125,73097.5234375,12175.5126953125,125869.1015625,47085.38671875,78102.0703125
3,-5964.23193359375,81699.5703125,35543.015625,73615.65625,12123.82421875,125955.546875,47327.0,78231.6328125
0,-6267.02294921875,81689.890625,35309.796875,74357.6640625,12099.21875,126232.921875,47833.49609375,78569.9921875
1,-6563.998046875,81725.75,35115.578125,74945.265625,12100.4111328125,126555.6953125,48350.2421875,78940.2578125
2,-6786.82421875,81787.40625,34999.46875,75244.2421875,12122.3935546875,126823.6328125,48717.93359375,79232.5078125
0,-6828.97607421875,81867.46875,35025.6484375,75140.7734375,12170.0302734375,126945.4609375,48819.1640625,79346.5703125
1,-6683.2548828125,81928.6953125,35175.8515625,74662.6015625,12216.85546875,126868.7890625,48597.29296875,79232.078125
2,-6395.10205078125,81951.2421875,35402.34765625,73979.2890625,12250.376953125,126623.21875,48138.33984375,78928.1953125
0,-6095.7431640625,81917.1015625,35603.00390625,73370.84375,12249.8515625,126301.3515625,47621.78125,78552.78125
1,-5863.28515625,81847.7734375,35726.50390625,73002.109375,12224.1982421875,126007.0,47205.359375,78232.109375
2,-5824.61376953125,81760.84375,35697.1796875,73086.4609375,12175.0361328125,125871.9140625,47080.47265625,78105.890625
0,-5993.17578125,81696.8984375,35529.09375,73610.453125,12123.82421875,125959.4609375,47321.0859375,78234.5859375
1,-6293.82177734375,81690.03125,35298.16015625,74359.5703125,12102.890625,126242.5546875,47834.06640625,78575.5234375
2,-6582.451171875,81735.4296875,35114.578125,74952.7578125,12111.5224609375,126571.3828125,48361.35546875,78955.703125
0,-6793.1181640625,81804.328125,35008.2421875,75242.3828125,12138.8916015625,126839.1796875,48725.70703125,79249.484375
1,-6833.60107421875,81878.625,35031.98828125,75118.1171875,12179.4228515625,126947.46875,48803.765625,79349.0
2,-6681.490234375,81939.1796875,35186.0078125,74634.65625,12227.8701171875,126865.2578125,48576.07421875,79223.78125
0,-6395.865234375,81950.8203125,35409.16796875,73928.9375,12251.9033203125,126599.515625,48091.703125,78897.1953125
1,-6088.06591796875,81916.34375,35611.6796875,73320.4453125,12251.759765625,126272.40625,47568.08984375,78517.875
2,-5858.51708984375,81846.34375,35732.2734375,72989.6640625,12226.0576171875,125987.3515625,47173.6953125,78206.359375
0,-5820.32177734375,81765.8515625,35703.7109375,73109.5390625,12179.1845703125,125866.5234375,47079.85546875,78095.6796875
1,-5990.1240234375,81704.9140625,35537.9609375,73642.265625,12130.9287109375,125962.1796875,47332.33984375,78233.6328125
0,-6298.97119140625,81695.6171875,35301.546875,74392.8515625,12106.80078125,126245.1328125,47848.66015625,78579.625
1,-6587.41015625,81737.2890625,35114.0546875,74964.71875,12112.3798828125,126572.3359375,48364.5,78956.8515625
2,-6792.02099609375,81808.2890625,35011.9140625,75242.71875,12141.896484375,126839.2265625,48724.80078125,79249.578125
3,-6824.2548828125,81888.59375,35041.671875,75117.546875,12186.814453125,126947.796875,48805.86328125,79350.53125
0,-6684.11279296875,81936.796875,35183.57421875,74626.0234375,12218.76171875,126849.4296875,48563.72265625,79215.96875
1,-6396.580078125,81950.1484375,35406.0703125,73930.078125,12243.9873046875,126587.59375,48085.59765625,78896.578125
0,-6077.95703125,81927.3125,35621.55078125,73335.0859375,12255.57421875,126274.453125,47576.09765625,78532.8515625
1,-5853.84423828125,81855.4453125,35740.046875,72999.7734375,12227.96484375,125988.9296875,47176.984375,78217.7578125
2,-5821.7998046875,81770.3359375,35703.8046875,73114.546875,12178.61328125,125863.8046875,47076.23046875,78102.3125
0,-5991.078125,81708.8671875,35534.52734375,73637.4453125,12128.40234375,125957.453125,47325.94921875,78240.9296875
1,-6298.5419921875,81700.0,35298.875,74384.171875,12100.8408203125,126241.9375,47842.078125,78586.0625
2,-6593.94287109375,81737.953125,35106.56640625,74962.9140625,12101.126953125,126563.9453125,48357.25390625,78958.140625
3,-6805.8017578125,81803.0,34997.89453125,75243.53125,12126.11328125,126829.0703125,48715.5,79249.0546875
4,-6835.5087890625,81884.15625,35032.84765625,75125.1328125,12173.6064453125,126944.03125,48800.6171875,79353.296875
5,-6692.076171875,81931.7890625,35175.7109375,74620.015625,12208.1767578125,126844.5625,48552.51953125,79214.6328125
6,-6402.20703125,81945.140625,35400.25,73920.875,12234.5927734375,126581.5859375,48074.48828125,78891.046875
7,-6096.69677734375,81909.328125,35601.4296875,73315.9609375,12233.353515625,126253.5234375,47551.4453125,78510.390625
8,-5868.86376953125,81844.8671875,35721.44921875,72997.625,12209.7021484375,125976.765625,47168.6875,78205.59375
9,-5835.81884765625,81767.140625,35690.98046875,73137.484375,12166.2626953125,125868.3359375,47091.203125,78108.4609375
10,-6008.9111328125,81709.203125,35523.37109375,73674.0234375,12121.7255859375,125971.7578125,47352.22265625,78253.5625
0,-6316.0419921875,81703.1015625,35288.43359375,74411.59375,12098.361328125,126256.71875,47864.6328125,78595.359375
1,-6606.53076171875,81744.015625,35100.3203125,74977.3125,12103.0341796875,126579.921875,48376.56640625,78964.0546875
2,-6819.39208984375,81809.765625,34990.21875,75264.2265625,12127.2099609375,126845.1875,48735.09765625,79251.96875
0,-6852.81787109375,81887.203125,35020.87890625,75135.3359375,12169.791015625,126952.234375,48812.0625,79348.90625
1,-6692.41015625,81948.0546875,35180.62109375,74625.40625,12217.3798828125,126861.5859375,48568.30078125,79217.7265625
2,-6406.498046875,81960.828125,35402.25390625,73937.8046875,12241.888671875,126598.421875,48091.609375,78897.0546875
0,-6109.046875,81921.015625,35597.61328125,73341.7578125,12235.6904296875,126271.453125,47573.0,78519.015625
1,-5881.8818359375,81854.2578125,35717.15625,73007.640625,12212.75390625,125994.171875,47185.046875,78216.515625
2,-5850.60107421875,81777.296875,35684.3515625,73141.5859375,12171.03125,125884.2578125,47103.45703125,78115.1875
0,-6023.35986328125,81722.4140625,35517.265625,73684.4609375,12128.9736328125,125988.40625,47366.1953125,78261.859375
1,-6332.68408203125,81715.0234375,35283.046875,74433.5234375,12105.6572265625,126275.84375,47883.9453125,78611.2890625
2,-6625.98583984375,81754.453125,35093.26171875,75002.484375,12108.994140625,126597.609375,48395.58984375,78984.4609375
0,-6833.26806640625,81822.9296875,34989.7890625,75272.4765625,12135.220703125,126857.4375,48745.06640625,79269.2265625
1,-6861.5439453125,81900.890625,35025.50390625,75137.1015625,12177.515625,126960.9609375,48812.77734375,79361.3046875
0,-6702.89990234375,81958.734375,35182.62109375,74623.2578125,12219.810546875,126863.4453125,48563.10546875,79221.015625
1,-6411.791015625,81971.515625,35406.78515625,73932.0390625,12246.84765625,126598.9921875,48088.03125,78897.53125
2,-6102.27587890625,81940.7109375,35611.34765625,73327.453125,12250.376953125,126272.359375,47567.9453125,78518.96875
3,-5875.8740234375,81872.328125,35728.6015625,72995.3359375,12224.3408203125,125988.9765625,47172.21875,78210.078125
0,-5855.60791015625,81786.8359375,35685.92578125,73141.6796875,12172.4140625,125874.578125,47088.578125,78107.4140625
1,-6037.998046875,81729.1328125,35511.30859375,73708.546875,12121.48828125,125981.390625,47361.47265625,78262.0078125
0,-6338.59716796875,81731.6640625,35283.47265625,74457.1328125,12105.3232421875,126275.984375,47884.9453125,78618.34375
1,-6627.7509765625,81770.953125,35097.03125,75005.4453125,12109.9482421875,126596.515625,48392.34765625,78987.1796875
2,-6826.30615234375,81845.34375,35000.99609375,75268.8046875,12140.751953125,126860.921875,48747.1171875,79274.7578125
0,-6847.7158203125,81924.921875,35042.05078125,75125.84375,12187.052734375,126962.7265625,48812.82421875,79364.3125
1,-6688.64306640625,81977.7578125,35197.0703125,74629.984375,12227.3447265625,126863.6875,48566.96875,79220.2578125
2,-6397.0087890625,81984.2421875,35419.46875,73911.8671875,12247.9453125,126588.359375,48074.296875,78886.7109375
0,-6096.0771484375,81946.2421875,35616.59375,73316.203125,12246.1328125,126260.7265625,47554.6875,78507.859375
1,-5878.1630859375,81877.671875,35729.69921875,73025.09375,12221.8623046875,125989.9296875,47186.1875,78211.265625
2,-5854.94091796875,81800.234375,35692.5546875,73169.140625,12177.75390625,125887.078125,47111.66015625,78118.90625
0,-6036.04296875,81744.96875,35520.12890625,73732.765625,12130.642578125,126001.8984375,47390.1328125,78279.6953125
1,-6346.03515625,81740.9140625,35287.05078125,74480.4453125,12107.326171875,126294.578125,47917.03515625,78631.6953125
2,-6634.0927734375,81780.0625,35102.89453125,75008.3046875,12110.853515625,126610.34375,48413.8046875,78994.4296875
0,-6833.88720703125,81848.34375,35005.3359375,75271.046875,12140.2265625,126867.3125,48756.796875,79278.3828125
1,-6857.9677734375,81920.203125,35041.62109375,75117.9765625,12181.3310546875,126960.2421875,48806.86328125,79359.828125
2,-6691.69482421875,81975.9453125,35201.93359375,74603.9453125,12223.7685546875,126859.34375,48550.75390625,79213.1953125
0,-6399.91796875,81981.765625,35423.09375,73903.375,12244.607421875,126585.546875,48061.18359375,78880.75
1,-6097.26904296875,81945.8125,35624.6015625,73319.875,12244.892578125,126260.6796875,47547.05859375,78508.1015625
0,-5887.7470703125,81870.8515625,35730.17578125,73017.6015625,12212.373046875,125984.203125,47169.9765625,78206.0234375
1,-5873.9658203125,81786.6875,35684.06640625,73177.25,12161.9228515625,125881.1640625,47105.69921875,78115.1875
2,-6050.77783203125,81740.0546875,35518.31640625,73740.921875,12123.966796875,126004.6640625,47393.9453125,78281.6484375
3,-6360.38818359375,81738.90625,35286.3359375,74485.1640625,12106.0859375,126302.1640625,47918.70703125,78635.796875
4,-6647.72998046875,81781.875,35102.1796875,75040.5859375,12112.28515625,126624.5,48427.82421875,79003.484375
5,-6841.7080078125,81853.59375,35008.578125,75284.6328125,12142.23046875,126877.0859375,48765.234375,79276.859375
6,-6860.1611328125,81925.828125,35048.48828125,75109.109375,12181.521484375,126961.0078125,48801.33203125,79346.8125
7,-6688.64306640625,81983.53125,35213.37890625,74595.4140625,12227.583984375,126855.390625,48540.69140625,79197.65625
8,-6390.2861328125,81994.640625,35439.92578125,73900.8046875,12252.6181640625,126582.3046875,48055.2265625,78865.7734375
9,-6089.02001953125,81953.7265625,35636.859375,73313.71875,12248.802734375,126255.8125,47538.5703125,78488.7421875
0,-5884.791015625,81874.6640625,35735.46875,73016.3671875,12211.7529296875,125977.8203125,47162.77734375,78187.6171875
1,-5873.39404296875,81792.4140625,35688.1171875,73191.6015625,12161.255859375,125878.78125,47107.03515625,78102.5
2,-6066.56103515625,81734.7109375,35506.15625,73777.3984375,12110.568359375,125995.03125,47393.27734375,78266.6328125
3,-6376.1240234375,81734.6171875,35274.84375,74511.6796875,12092.0185546875,126291.71875,47916.84765625,78622.3515625
4,-6652.451171875,81785.2578125,35102.9921875,75030.1484375,12107.181640625,126621.8359375,48424.203125,78996.765625
5,-6836.748046875,81864.75,35018.3984375,75286.0625,12144.9482421875,126884.6640625,48772.86328125,79281.484375
0,-6848.85986328125,81940.234375,35062.03125,75108.5390625,12187.625,126966.6796875,48809.4375,79348.3828125
1,-6685.9248046875,81985.1484375,35217.671875,74576.8125,12220.478515625,126845.0390625,48530.48828125,79181.96875
2,-6395.673828125,81986.53125,35435.53515625,73870.8125,12235.4521484375,126564.234375,48031.52734375,78844.6015625
0,-6099.27197265625,81946.2890625,35628.84765625,73299.078125,12228.87109375,126237.7421875,47519.9765625,78474.0546875
1,-5903.86376953125,81863.5546875,35721.828125,73014.890625,12186.576171875,125960.796875,47149.234375,78176.21875
2,-5893.326171875,81784.921875,35674.71875,73189.7421875,12139.2255859375,125869.90625,47097.49609375,78101.3125
0,-6082.39208984375,81736.2890625,35498.95703125,73766.765625,12099.88671875,126000.3203125,47396.76171875,78279.359375
1,-6386.27978515625,81743.390625,35272.6484375,74512.921875,12088.1572265625,126305.640625,47929.1015625,78644.5703125
2,-6663.60888671875,81796.609375,35099.69921875,75063.7109375,12103.462890625,126634.515625,48435.55078125,79021.03125
0,-6854.72509765625,81870.234375,35011.24609375,75304.8984375,12134.2666015625,126887.765625,48769.52734375,79294.640625
1,-6871.84423828125,81940.8046875,35051.16015625,75120.125,12172.65234375,126967.109375,48802.5703125,79359.828125
2,-6699.56201171875,81994.828125,35214.85546875,74591.8828125,12213.0400390625,126853.1953125,48528.7734375,79202.375
0,-6413.65087890625,81991.4453125,35430.1015625,73880.25,12224.8662109375,126565.7578125,48026.375,78856.3828125
1,-6127.31005859375,81943.234375,35613.20703125,73300.84375,12211.705078125,126233.734375,47514.34765625,78474.4375
0,-5917.93115234375,81876.4765625,35718.96875,73033.1484375,12187.1484375,125975.53125,47166.2578125,78191.578125
1,-5900.908203125,81808.3828125,35681.0625,73219.734375,12149.62109375,125894.796875,47122.72265625,78127.7734375
0,-6095.8388671875,81753.6953125,35499.52734375,73790.609375,12100.8408203125,126016.34375,47408.25390625,78299.484375
1,-6410.36083984375,81749.734375,35263.97265625,74520.453125,12076.044921875,126309.6484375,47928.1953125,78653.34375
2,-6687.68896484375,81801.140625,35091.83203125,75068.625,12089.4921875,126636.6640625,48435.50390625,79025.421875
3,-6874.89501953125,81877.8125,35005.23828125,75313.2421875,12122.44140625,126891.53125,48772.67578125,79298.6953125
0,-6877.23193359375,81960.875,35060.265625,75135.8125,12174.177734375,126980.4609375,48816.828125,79371.984375
1,-6700.94482421875,82013.28125,35229.01953125,74591.359375,12215.9013671875,126860.8203125,48535.97265625,79206.4296875
2,-6415.84423828125,82006.9375,35442.0703125,73886.8828125,12225.056640625,126566.8984375,48027.94921875,78854.859375
0,-6124.02001953125,81961.3515625,35628.2265625,73317.9140625,12210.7041015625,126234.734375,47513.5390625,78472.859375
1,-5922.4130859375,81884.8203125,35727.6484375,73023.6171875,12178.4697265625,125967.234375,47148.7578125,78181.609375
2,-5916.64306640625,81808.9609375,35679.25,73205.5234375,12134.6484375,125881.3515625,47105.9375,78111.8984375
0,-6108.14111328125,81762.2734375,35503.05859375,73794.0390625,12095.119140625,126015.9609375,47411.2109375,78293.953125
1,-6420.421875,81762.515625,35269.3125,74541.53125,12078.0947265625,126315.9921875,47941.83203125,78655.15625
2,-6697.4169921875,81813.390625,35097.03125,75090.5625,12093.9736328125,126641.5234375,48445.66015625,79026.5625
0,-6889.201171875,81886.4921875,35008.578125,75349.4375,12127.2099609375,126898.640625,48790.26953125,79301.9375
1,-6892.6337890625,81962.78125,35061.79296875,75132.5234375,12172.986328125,126979.4140625,48822.40625,79364.2578125
2,-6719.9228515625,82003.890625,35224.87109375,74551.546875,12206.412109375,126844.375,48514.1796875,79184.828125
0,-6420.56494140625,82007.3203125,35450.03125,73852.7890625,12225.533203125,126558.984375,48006.20703125,78841.078125
1,-6125.83203125,81960.9765625,35639.52734375,73280.296875,12215.9013671875,126225.6796875,47490.078125,78461.3203125
2,-5925.65576171875,81884.8671875,35736.56640625,73005.0625,12183.8583984375,125958.5546875,47129.3515625,78173.171875
3,-5918.69384765625,81811.25,35688.69140625,73214.96875,12143.3271484375,125882.3046875,47102.88671875,78113.1328125
4,-6119.72802734375,81754.3125,35501.578125,73799.046875,12094.4033203125,126010.2890625,47406.96484375,78289.9453125
5,-6442.26123046875,81744.390625,35258.34375,74527.84375,12064.982421875,126300.78125,47927.2890625,78641.9453125
6,-6721.30615234375,81794.3203125,35085.73046875,75080.6875,12080.146484375,126631.3203125,48440.5078125,79019.4609375
7,-6893.4921875,81878.0546875,35013.91796875,75304.0859375,12124.158203125,126888.953125,48774.19921875,79296.6484375
8,-6896.830078125,81947.2421875,35064.12890625,75090.515625,12163.353515625,126955.0,48784.1171875,79346.5703125
9,-6720.2568359375,81995.1171875,35229.11328125,74549.828125,12201.3095703125,126828.109375,48495.203125,79173.3828125
10,-6422.56787109375,81996.5,35451.46484375,73847.6875,12221.48046875,126543.5859375,47997.43359375,78828.296875
0,-6121.20703125,81957.3046875,35647.77734375,73291.5,12221.05078125,126223.1015625,47499.56640625,78458.6015625
1,-5915.06982421875,81889.828125,35751.53515625,73033.484375,12194.5390625,125966.0390625,47149.7109375,78178.4140625
2,-5924.55908203125,81802.8046875,35687.1171875,73229.0859375,12139.130859375,125879.015625,47105.74609375,78107.75
3,-6127.59619140625,81750.640625,35499.57421875,73831.28125,12094.212890625,126016.34375,47419.88671875,78292.8046875
0,-6441.40283203125,81751.0234375,35266.26171875,74566.1796875,12074.7578125,126317.703125,47949.890625,78654.96875
1,-6724.31005859375,81795.75,35088.4453125,75091.3671875,12082.767578125,126637.4296875,48443.609375,79023.3203125
0,-6904.6982421875,81871.8515625,35006.8125,75327.2109375,12116.1474609375,126889.3828125,48773.8203125,79294.5
1,-6901.55078125,81948.953125,35062.31640625,75115.5,12160.015625,126961.2421875,48791.890625,79347.3359375
2,-6724.8349609375,81994.1171875,35227.875,74552.3515625,12196.16015625,126829.828125,48496.30078125,79169.1875
0,-6420.13623046875,82001.8359375,35456.61328125,73853.640625,12220.4306640625,126548.96875,47997.765625,78829.0625
1,-6117.15283203125,81963.453125,35651.83203125,73294.5546875,12215.8056640625,126224.484375,47487.7890625,78456.21875
2,-5926.94287109375,81883.484375,35739.140625,73041.3515625,12177.373046875,125957.40625,47136.8828125,78171.1171875
3,-5924.796875,81812.7734375,35688.59375,73261.4609375,12137.080078125,125889.125,47126.82421875,78120.3828125
0,-6132.173828125,81759.3671875,35498.48046875,73853.546875,12090.4931640625,126025.40625,47435.765625,78303.296875
1,-6445.97998046875,81760.609375,35265.01953125,74575.625,12071.8974609375,126329.9609375,47960.953125,78668.3203125
0,-6726.7421875,81807.578125,35089.734375,75098.859375,12081.4326171875,126649.34375,48457.19921875,79032.3359375
1,-6909.4658203125,81878.1953125,35005.3359375,75308.4765625,12110.51953125,126887.859375,48766.76171875,79291.4921875
2,-6900.8828125,81956.96875,35064.84375,75099.234375,12158.109375,126959.3828125,48777.109375,79345.6640625
0,-6721.115234375,81998.546875,35229.828125,74528.84375,12190.7724609375,126818.8125,48466.92578125,79159.6953125
1,-6421.9951171875,81997.359375,35452.51171875,73821.8359375,12207.271484375,126527.1796875,47957.94921875,78811.1796875
2,-6123.73388671875,81955.109375,35644.9140625,73268.7109375,12201.453125,126201.40625,47452.8359375,78441.0078125
0,-5931.9501953125,81881.53125,35734.703125,73033.8203125,12167.8359375,125946.390625,47116.0,78168.0703125
1,-5937.76708984375,81805.859375,35677.1015625,73255.2109375,12123.728515625,125877.8203125,47103.125,78115.5234375
0,-6148.3388671875,81750.78125,35483.890625,73842.7265625,12074.8525390625,126014.1015625,47415.0703125,78298.8671875
1,-6468.15283203125,81748.109375,35245.46875,74575.3359375,12051.296875,126313.703125,47943.40625,78659.3515625
2,-6749.77294921875,81796.3671875,35070.7109375,75104.1015625,12062.12109375,126636.1875,48439.9375,79026.28125
3,-6919.9091796875,81879.1015625,34999.328125,75321.921875,12102.8427734375,126888.3828125,48766.6640625,79292.4453125
0,-6911.51708984375,81954.34375,35058.64453125,75102.0546875,12146.1884765625,126953.5703125,48775.15234375,79339.703125
1,-6721.115234375,82005.65625,35235.12109375,74542.671875,12188.5791015625,126822.0546875,48471.265625,79159.9375
2,-6423.42578125,82004.9375,35456.8046875,73850.3046875,12205.4111328125,126532.7109375,47963.43359375,78815.0859375
0,-6127.31005859375,81961.9296875,35645.8203125,73289.546875,12196.6845703125,126204.890625,47457.12890625,78442.7265625
1,-5940.15087890625,81886.828125,35732.4140625,73036.6796875,12161.5419921875,125948.7734375,47118.4765625,78165.96875
2,-5957.4130859375,81804.765625,35665.23046875,73249.4921875,12110.6630859375,125873.0078125,47099.73828125,78108.75
0,-6164.7890625,81755.5546875,35477.9765625,73848.6875,12070.1318359375,126019.203125,47419.6015625,78302.9140625
1,-6483.03076171875,81757.4609375,35241.98828125,74587.3046875,12050.3427734375,126323.90625,47953.0859375,78669.4140625
0,-6761.884765625,81805.3828125,35068.75390625,75107.9140625,12061.21484375,126644.578125,48447.47265625,79034.578125
1,-6937.69482421875,81880.765625,34991.6015625,75316.0078125,12095.7861328125,126886.5703125,48762.8515625,79291.1640625
0,-6923.2470703125,81960.59375,35057.16796875,75095.46875,12145.7109375,126954.4765625,48771.53125,79337.796875
1,-6729.88916015625,82012.234375,35234.8828125,74539.625,12190.8671875,126824.203125,48470.16796875,79158.265625
2,-6432.5810546875,82008.65625,35454.23046875,73830.8046875,12203.7900390625,126527.703125,47952.80078125,78802.8828125
